source,category,title,negative,neutral,positive,sentiment,confidence
cnn,Mundo,Venezuela liberta 5 opositores após acordo sobre eleições e alívio de sanções dos EUA,0.0643722414970398,0.40816810727119446,0.5274596810340881,positive,0.5274596810340881
cnn,Mundo,Lula pede para a diplomacia brasileira não desistir de mobilização pelo fim da guerra,0.2707004249095917,0.4167666435241699,0.3125329315662384,neutral,0.4167666435241699
cnn,Mundo,"Idosa israelense com cidadania americana e neta são encontradas mortas, diz família",0.8199900984764099,0.14281542599201202,0.03719440475106239,negative,0.8199900984764099
cnn,Mundo,"María Machado, favorita nas primárias da Venezuela, segue em campanha apesar da proibição",0.20212127268314362,0.7374873757362366,0.06039133667945862,neutral,0.7374873757362366
cnn,Mundo,"Dois mísseis são disparados do Líbano em direção a ocupação israelense, diz mídia estatal",0.612378716468811,0.3246917724609375,0.06292947381734848,negative,0.612378716468811
cnn,Mundo,Tensões aumentam na Cisjordânia em meio a conflito entre Israel e Hamas,0.17220908403396606,0.7744174003601074,0.05337353050708771,neutral,0.7744174003601074
cnn,Mundo,Opinião: O medo persistente de saber que minha família palestina pode ser morta a qualquer momento,0.2174358069896698,0.6922017335891724,0.09036251157522202,neutral,0.6922017335891724
cnn,Mundo,Israel detém 63 supostos “agentes terroristas do Hamas” em ataques na Cisjordânia,0.7703193426132202,0.1700192540884018,0.059661492705345154,negative,0.7703193426132202
cnn,Mundo,Amorim fala com conselheiros de Putin e Macron sobre cúpula no Egito e alternativas na ONU,0.1291457563638687,0.4733026623725891,0.397551566362381,neutral,0.4733026623725891
cnn,Mundo,Venezuela liberta 5 opositores após acordo sobre eleições e alívio de sanções dos EUA,0.0643722414970398,0.40816810727119446,0.5274596810340881,positive,0.5274596810340881
cnn,Mundo,Lula pede para a diplomacia brasileira não desistir de mobilização pelo fim da guerra,0.2707004249095917,0.4167666435241699,0.3125329315662384,neutral,0.4167666435241699
cnn,Mundo,"Idosa israelense com cidadania americana e neta são encontradas mortas, diz família",0.8199900984764099,0.14281542599201202,0.03719440475106239,negative,0.8199900984764099
cnn,Mundo,"María Machado, favorita nas primárias da Venezuela, segue em campanha apesar da proibição",0.20212127268314362,0.7374873757362366,0.06039133667945862,neutral,0.7374873757362366
cnn,Mundo,"Dois mísseis são disparados do Líbano em direção a ocupação israelense, diz mídia estatal",0.612378716468811,0.3246917724609375,0.06292947381734848,negative,0.612378716468811
cnn,Mundo,Tensões aumentam na Cisjordânia em meio a conflito entre Israel e Hamas,0.17220908403396606,0.7744174003601074,0.05337353050708771,neutral,0.7744174003601074
cnn,Mundo,Opinião: O medo persistente de saber que minha família palestina pode ser morta a qualquer momento,0.2174358069896698,0.6922017335891724,0.09036251157522202,neutral,0.6922017335891724
cnn,Mundo,Israel detém 63 supostos “agentes terroristas do Hamas” em ataques na Cisjordânia,0.7703193426132202,0.1700192540884018,0.059661492705345154,negative,0.7703193426132202
cnn,Mundo,Amorim fala com conselheiros de Putin e Macron sobre cúpula no Egito e alternativas na ONU,0.1291457563638687,0.4733026623725891,0.397551566362381,neutral,0.4733026623725891
